Wavenumber,CoHA01,CoHA025,CoHA05,CoHA100
399.1992,0.871379,1.359685,1.170668,1.049802
401.1277,0.8929625,1.241221,1.04816,0.9250536
403.0562,0.9100507,1.200009,0.9969036,0.8757113
404.9847,0.9136396,1.193007,0.9818766,0.867193
406.9132,0.9079032,1.17858,0.9652627,0.856711
408.8417,0.8869296,1.13592,0.9363509,0.8281683
410.7702,0.85623610000000006,1.082621,0.9015397,0.7905297
412.6987,0.818714,1.028629,0.8647422,0.7478972
414.6272,0.7892037,0.9876321,0.8379703,0.7166019
416.5557,0.7676761,0.999793,0.8595092,0.7353206
418.4842,0.7444969,1.077066,0.9452403,0.8216428
420.4127,0.7331322,0.9873914,0.8618481,0.7331004
422.3412,0.732203,0.9223625,0.798471,0.6648387
424.2697,0.7329054,0.9078525,0.7827649,0.6482338
426.1982,0.7377051,0.8901889,0.7656541,0.6287229
428.1267,0.7440602,0.8789231,0.7533843,0.6144237
430.0552,0.7486319,0.8810318,0.7522492,0.6138161
431.9837,0.7503715,0.8787519,0.7506573,0.6114974
433.9122,0.7504094,0.8753023,0.7474654,0.6066803
435.8407,0.7494584,0.8742383,0.7466095,0.6041576
437.7692,0.7489539,0.8602858,0.7341724,0.5882741
439.6977,0.7458241,0.8538522,0.7284136,0.5792474
441.6262,0.7423289,0.8627316,0.737533,0.5871025
443.5547,0.7439948,0.8616747,0.7339416,0.5832219
445.4832,0.7486193,0.8558459,0.7250015,0.5739273
447.4117,0.7543833,0.85514,0.7218243,0.570746
449.3401,0.7611152,0.8530354,0.7183754,0.5660034
451.2686,0.7682233,0.8610617,0.7238001,0.5713654
453.1971,0.7761877,0.8704178,0.7282979,0.5777162
455.1256,0.7822911,0.8784697,0.7322645,0.5827401
457.0541,0.7896186,0.9036044,0.7546821,0.6064647
458.9826,0.7998518,0.9046164,0.7521926,0.6038271
460.9111,0.8065726,0.8965049,0.740559,0.5909297
462.8396,0.8129419,0.8996817,0.7422803,0.5912472
464.7681,0.8194236,0.9029528,0.7441661,0.593801
466.6966,0.8253492,0.911791,0.7504469,0.6028509
468.6251,0.8305958,0.9177049,0.7560981,0.6092192
470.5536,0.8332172,0.9242543,0.7636991,0.6175242
472.4821,0.8359715,0.9334299,0.7746863,0.6280085
474.4106,0.8388059,0.9254732,0.7664599,0.6182464
476.3391,0.8404803,0.9196419,0.7614136,0.6119584
478.2676,0.8408347,0.9185494,0.7610797,0.6105149
480.1961,0.8403605,0.9162005,0.7608983,0.6097344
482.1246,0.8399872,0.9156172,0.7641927,0.6121341
484.0531,0.8399813,0.9167067,0.767233,0.615256
485.9816,0.8415025,0.9146847,0.7651812,0.6132399
487.9101,0.843785,0.9112582,0.7637007,0.6105683
489.8386,0.8460981,0.9120468,0.7665412,0.6130307
491.7671,0.8511341,0.9153099,0.7714436,0.6178188
493.6956,0.8590071,0.9179454,0.774961,0.6203376
495.6241,0.8669081,0.9215423,0.7782686,0.6229557
497.5526,0.8755044,0.9280786,0.7827865,0.6288478
499.4811,0.8839657,0.9372622,0.7898612,0.6364357
501.4096,0.8938785,0.9508513,0.8022485,0.6485321
503.3381,0.9081022,0.9616578,0.8111851,0.6577315
505.2666,0.9207594,0.9717247,0.818022,0.665763
507.1951,0.9351213,0.984994,0.8286942,0.6782138
509.1236,0.9511413,0.9989723,0.8381215,0.6890574
511.0521,0.9687102,1.015332,0.8491818,0.7023813
512.9806,0.9872295,1.032423,0.8622692,0.7183354
514.9091,1.004401,1.052217,0.8776483,0.7371821
516.8376,1.023439,1.078151,0.896709,0.7616976
518.7661,1.045414,1.101385,0.9139979,0.7866269
520.6946,1.065718,1.120502,0.9278096,0.8084493
522.6231,1.08328,1.138654,0.9407892,0.8307087
524.5516,1.098428,1.156401,0.955161,0.8567116
526.4801,1.111924,1.169518,0.9663181,0.8830676
528.4086,1.118795,1.172676,0.9702131,0.8992578
530.3371,1.120313,1.170231,0.969862,0.9108725
532.2656,1.118703,1.162728,0.9662668,0.9181665
534.1941,1.11431,1.151044,0.96055,0.9203348
536.1226,1.108573,1.13906,0.9532968,0.9199521
538.0511,1.100332,1.124552,0.943494,0.9167687
539.9796,1.091412,1.109093,0.9335372,0.9123853
541.9081,1.081506,1.091848,0.9230769,0.9058491
543.8365,1.071502,1.077011,0.9145756,0.8978088
545.7651,1.065246,1.066747,0.9092609,0.8914767
547.6935,1.069871,1.064848,0.9082738,0.8903378
549.6221,1.087579,1.07402,0.9134473,0.8969143
551.5505,1.119646,1.09885,0.9275692,0.9137375
553.4791,1.164263,1.137503,0.9512709,0.9400759
555.4075,1.221657,1.191292,0.9838451,0.9768122
557.3361,1.283037,1.254383,1.021512,1.018729
559.2645,1.338716,1.320149,1.061475,1.063816
561.1931,1.378716,1.379553,1.098066,1.107035
563.1215,1.403649,1.425976,1.12655,1.145338
565.05,1.412306,1.451632,1.145061,1.17296
566.9786,1.408906,1.459923,1.156271,1.192456
568.907,1.398804,1.458257,1.160369,1.203306
570.8356,1.392405,1.459538,1.165043,1.213858
572.764,1.393059,1.467964,1.17475,1.22864
574.6926,1.40557,1.489438,1.19251,1.255716
576.621,1.423678,1.517022,1.216465,1.294596
578.5496,1.441399,1.543917,1.239134,1.339268
580.478,1.454362,1.558599,1.256519,1.38135
582.4066,1.460418,1.560084,1.266445,1.411332
584.335,1.439524,1.532237,1.25848,1.403639
586.2635,1.385355,1.47207,1.230546,1.35521
588.192,1.305384,1.385257,1.185759,1.273639
